name,id
DKI JAKARTA,﻿IDN.7_1
BANTEN,﻿IDN.4_1
BOGOR CITY,﻿IDN.9.16_1
BOGOR DISTRICT,﻿IDN.9.5_1
DEPOK CITY,﻿IDN.9.10_1
BEKASI CITY,﻿IDN.9.15_1
BEKASI DISTRICT,﻿IDN.9.4_1
