"","sector_wo","poll","grid","value","value_all_sector","value_om_sector","diff","status"
"1","agroob","SO2","d02",1685916.45070274,1693127.99119916,7211.59271065094,0.0522142233767227,"PASS"
"2","agroob","NOx","d02",3918888.33843342,4004670.08475177,85781.7044732393,0.0418451084406115,"PASS"
"3","agroob","CO","d02",35941745.9138287,42003838.5772918,6062092.66158992,0.00187318585813046,"PASS"
"4","agroob","NMVOC","d02",2168362.363389,2422147.74776785,253785.382068845,0.00231001354404725,"PASS"
"5","agroob","NH3","d02",764539.00716124,896776.649849362,132237.643758347,0.00107022540760227,"PASS"
"6","agroob","PM","d02",646553.125397526,1226941.46279995,580388.337514127,0.000111699453555048,"PASS"
"7","agroob","CH4","d02",199648.948673069,346053.893442694,146404.943942287,0.000827337731607258,"PASS"
"8","agroob","BC","d02",72013.2145894013,91439.2755578947,19426.0610245134,5.60199841856956e-05,"PASS"
"9","agroob","OC","d02",204815.197381017,306543.521004117,101728.323915464,0.000292363227345049,"PASS"
"10","aviation","SO2","d02",1691873.12813466,1693127.99119916,1254.9120225152,0.0489580158609897,"PASS"
"11","aviation","NOx","d02",3984918.08400181,4004670.08475177,19751.9686453789,0.0321045769378543,"PASS"
"12","aviation","CO","d02",41991160.0018462,42003838.5772918,12678.574061729,0.00138390064239502,"PASS"
"13","aviation","NMVOC","d02",2419649.17720995,2422147.74776785,2498.56975788251,0.00080002099275589,"PASS"
"14","aviation","NH3","d02",896776.650660204,896776.649849362,0,0.000810842146165669,"PASS"
"15","aviation","PM","d02",1226725.67420172,1226941.46279995,215.788954540039,0.000356303644366562,"PASS"
"16","aviation","CH4","d02",345993.309195011,346053.893442694,60.582898814755,0.00134886830346659,"PASS"
"17","aviation","BC","d02",91398.3041503612,91439.2755578947,40.9714028177405,4.71581006422639e-06,"PASS"
"18","aviation","OC","d02",306480.993109388,306543.521004117,62.5279329654586,3.82355938199908e-05,"PASS"
"19","comres","SO2","d02",1688518.9062373,1693127.99119916,4609.1298702376,0.0449083750645514,"PASS"
"20","comres","NOx","d02",3979180.6605256,4004670.08475177,25489.3974875321,0.0267386332016031,"PASS"
"21","comres","CO","d02",41360188.3884941,42003838.5772918,643650.215532617,0.0267349266214296,"PASS"
"22","comres","NMVOC","d02",2350153.71337049,2422147.74776785,71994.0363037193,0.00190635096805636,"PASS"
"23","comres","NH3","d02",886931.629800873,896776.649849362,9845.02062370517,0.000575215837670839,"PASS"
"24","comres","PM","d02",1143009.04254092,1226941.46279995,83932.4233748627,0.00311582957510836,"PASS"
"25","comres","CH4","d02",276572.882147822,346053.893442694,69481.0092656261,0.00202924585028086,"PASS"
"26","comres","BC","d02",82162.9772097646,91439.2755578947,9276.29841267222,6.45421278022695e-05,"PASS"
"27","comres","OC","d02",269789.306068228,306543.521004117,36754.2147010084,0.000234880557400174,"PASS"
"28","forest","SO2","d02",1692854.93532961,1693127.99119916,273.10476591874,0.04889636899469,"PASS"
"29","forest","NOx","d02",4003496.18211104,4004670.08475177,1173.87136303897,0.0312776921048226,"PASS"
"30","forest","CO","d02",41954008.9530074,42003838.5772918,49829.6419418052,0.0176573962526163,"PASS"
"31","forest","NMVOC","d02",2418266.78377699,2422147.74776785,3880.96246121597,0.0015296455767384,"PASS"
"32","forest","NH3","d02",896412.510919247,896776.649849362,364.13969135747,0.000761242436510656,"PASS"
"33","forest","PM","d02",1217887.49031535,1226941.46279995,9053.97285319046,0.000368584373063641,"PASS"
"34","forest","CH4","d02",342795.800175365,346053.893442694,3258.09195690362,0.00131042495377187,"PASS"
"35","forest","BC","d02",91123.0489888308,91439.2755578947,316.226570046264,9.82316805675509e-07,"PASS"
"36","forest","OC","d02",304052.038827216,306543.521004117,2491.48211802759,5.88734837947413e-05,"PASS"
"37","gasdist","SO2","d02",1693128.04022819,1693127.99119916,0,0.0490290315356106,"PASS"
"38","gasdist","NOx","d02",4004670.05360744,4004670.08475177,0,0.0311443256214261,"PASS"
"39","gasdist","CO","d02",42003838.5928914,42003838.5772918,0,0.0155995860695839,"PASS"
"40","gasdist","NMVOC","d02",2371152.74326487,2422147.74776785,50995.0046864417,0.000183458891115151,"PASS"
"41","gasdist","NH3","d02",896776.650660204,896776.649849362,0,0.000810842146165669,"PASS"
"42","gasdist","PM","d02",1226941.46328522,1226941.46279995,0,0.000485268654301763,"PASS"
"43","gasdist","CH4","d02",346053.892095048,346053.893442694,0,0.00134764553513378,"PASS"
"44","gasdist","BC","d02",91439.2755596016,91439.2755578947,0,1.70683779288083e-06,"PASS"
"45","gasdist","OC","d02",306543.520952859,306543.521004117,0,5.12582482770085e-05,"PASS"
"46","industry","SO2","d02",1657479.08281608,1693127.99119916,35648.9618554824,0.0534724024109892,"PASS"
"47","industry","NOx","d02",3173150.34514553,4004670.08475177,831519.712534699,0.0270715345395729,"PASS"
"48","industry","CO","d02",11625229.3134007,42003838.5772918,30378609.2651726,0.00128151848912239,"PASS"
"49","industry","NMVOC","d02",2344748.28522644,2422147.74776785,77399.4630727849,0.000531366706127301,"PASS"
"50","industry","NH3","d02",876881.60931052,896776.649849362,19895.0410316222,0.000492780258355197,"PASS"
"51","industry","PM","d02",1193917.16467136,1226941.46279995,33024.2994906417,0.00136204544105567,"PASS"
"52","industry","CH4","d02",330124.353353191,346053.893442694,15929.5382992344,0.00179026803743909,"PASS"
"53","industry","BC","d02",90921.6981941894,91439.2755578947,517.577415748202,5.20429251764654e-05,"PASS"
"54","industry","OC","d02",306134.378155192,306543.521004117,409.142507137777,0.000341787771390045,"PASS"
"55","landfill","SO2","d02",1693128.04022819,1693127.99119916,0,0.0490290315356106,"PASS"
"56","landfill","NOx","d02",4004670.05360744,4004670.08475177,0,0.0311443256214261,"PASS"
"57","landfill","CO","d02",42003838.5928914,42003838.5772918,0,0.0155995860695839,"PASS"
"58","landfill","NMVOC","d02",2422147.74621724,2422147.74776785,0,0.00155061483383179,"PASS"
"59","landfill","NH3","d02",896776.650660204,896776.649849362,0,0.000810842146165669,"PASS"
"60","landfill","PM","d02",1226941.46328522,1226941.46279995,0,0.000485268654301763,"PASS"
"61","landfill","CH4","d02",342801.809112609,346053.893442694,3252.08282334308,0.00150674200267531,"PASS"
