country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
IDN,Indonesia,PLTU Cirebon,WRI1000921,660,-6.7704,108.6151,Coal,,,,,PT. Cirebon Electric Power,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1066870,,,,,,,2707.500767
IDN,Indonesia,PLTU Embalut - Tanjung Batu,WRI1000925,50,-0.5,117.15,Coal,,,,,PT. Cahaya Fajar Kaltim,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1058260,,,,,,,205.1136945
IDN,Indonesia,PLTU Gresik,WRI1000929,600,-7.1633,112.6615,Coal,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026070,,,,,,,2461.364334
IDN,Indonesia,PLTU Hendratna,WRI1000932,5,-2.5213,121.357,Coal,,,,,PT. Hendratna Plywood,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,20.51136945
IDN,Indonesia,PLTU Jabar Selatan - Pelabuhan Ratu,WRI1000938,1050,-7.0242,106.5464,Coal,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1066867,,,,,,,4307.387584
IDN,Indonesia,PLTU Jawa Barat - Indramayu,WRI1000939,990,-6.2747,107.9704,Coal,,,,,PLN + China National Electric Engineering Co.  Ltd. (CNEEC),Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1071378,,,,,,,4061.251151
IDN,Indonesia,PLTU Jawa Tengah 1 - Rembang,WRI1000940,630,-6.636,111.4749,Coal,,,,,PLN(EPC : Zeland-Priamanaya-Tronoh),Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1065762,,,,,,,2584.43255
IDN,Indonesia,PLTU Kaur,WRI1000943,200,-2.5213,121.357,Coal,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,820.4547779
IDN,Indonesia,PLTU Keramasan,WRI1000945,25,-2.5213,121.357,Coal,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026111,,,,,,,102.5568472
IDN,Indonesia,PLTU Kupang,WRI1000947,30,-2.5213,121.357,Coal,,,,,PT. Indonesia Power & electrindo Perkasa Utama,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026086,,,,,,,123.0682167
IDN,Indonesia,PLTU Labuhan Angin,WRI1000948,230,1.7176,98.7265,Coal,,,,,PLN - North Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1066585,,,,,,,943.5229946
IDN,Indonesia,PLTU Lati,WRI1000949,14,-2.5213,121.357,Coal,,,,,PLN - East Kalimantan Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1088444,,,,,,,57.43183445
IDN,Indonesia,PLTU Listrindo,WRI1000950,2.5,-2.5213,121.357,Coal,,,,,PT. Listrindo (IPP),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,10.25568472
IDN,Indonesia,PLTU Muara Karang,WRI1000954,400,-6.1069,106.7882,Coal,,,,,PLN - Java Bali Generation Unit / PT. PJB,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026102,,,,,,,1640.909556
IDN,Indonesia,PLTU NAD-Nagan Raya,WRI1000956,220,4.1089,96.1972,Coal,,,,,PLN (EPC : Sinohydro Co. Ltd),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1073026,,,,,,,902.5002557
IDN,Indonesia,PLTU Ombilin - Sijantang - Sawahlunto,WRI1000960,200,-0.6094,100.7535,Coal,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,GEODB,1026107,,,,,,,820.4547779
IDN,Indonesia,PLTU Paiton I Unit 7 & 8,WRI1000941,5355,-7.7184,113.5827,Coal,,,,,PT. Paiton Energy Corp,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026016,,,,,,,21967.67668
IDN,Indonesia,PLTU Pakerin,WRI1000965,34,-2.5213,121.357,Coal,,,,,PT. Pakerin (pulp industry),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,139.4773122
IDN,Indonesia,PLTU Pangkalan Bun,WRI1000966,14,-2.6833,111.6167,Coal,,,,,PT. Energi Listrik Indonesia (subsidiary of PT. Eksploitasi Energi Indonesia),Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026115,,,,,,,57.43183445
IDN,Indonesia,PLTU Pangkalan Susu 1 & 2,WRI1000967,400,4.1196,98.2555,Coal,,,,,PLN (EPC : PT. Bagus Karya  Guangdong Power Engineering  PT. Nincec Multi Dimensi),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1079188,,,,,,,1640.909556
