longitude,latatitude,Name,No,Jenis.Industri,Group Description,Kab.Kota,Provinsi,query,distance_from_jakarta_km
106.639444,-6.2283912,"PT. Surya Toto Indonesia, Tbk. - Divisi Fitting Serpong",175,Keramik,Capital goods & automobile components,Kota Tangerang Selatan,Banten,"Kota Tangerang Selatan, Banten, Indonesia",22.91842515
106.6395839,-6.2257818,"PT. Tifico Fiber Indonesia, Tbk.",111,Tekstil,Textile & Clothing,Kab. Tangerang,Banten,"Kab. Tangerang, Banten, Indonesia",22.87718595
106.6409105,-6.2357967,PT. Pratama Abadi Industri,177,Sepatu,Capital goods & automobile components,Kota Tangerang Selatan,Banten,"Kota Tangerang Selatan, Banten, Indonesia",22.85061077
106.9726327,-6.3703451,PT. Voksel Electric Tbk.,516,Kabel,Capital goods & automobile components,Kab. Bogor,Jawa Barat,"Kab. Bogor, Jawa Barat, Indonesia",22.8279649
107.0409731,-6.2684033,PT. Delta Djakarta Tbk,480,Makanan dan Minuman,Food & Beverage,Kab. Bekasi,Jawa Barat,"Kab. Bekasi, Jawa Barat, Indonesia",22.61654684
107.0434902,-6.2591482,PT. 3M Indonesia,503,Plastik,"Wood, Leather & Paper",Kab. Bekasi,Jawa Barat,"Kab. Bekasi, Jawa Barat, Indonesia",22.60574835
107.0427908,-6.2598219,PT. Sinar Sosro KPB Tambun,485,Makanan dan Minuman,Food & Beverage,Kab. Bekasi,Jawa Barat,"Kab. Bekasi, Jawa Barat, Indonesia",22.54955308
107.0379703,-6.2619082,PT. Toyogiri Iron Steel,508,Peleburan Baja,"Cement, Steel & heavy industry",Kab. Bekasi,Jawa Barat,"Kab. Bekasi, Jawa Barat, Indonesia",22.09475351
106.847062,-6.40525,PT. Cimanggis Sakti,678,Kimia,"Petroleum, Chemicals & Plastics",Kota Depok,Jawa Barat,"Kota Depok, Jawa Barat, Indonesia",21.87338725
106.8463248,-6.405158,PT. Indo Lysaght,679,Kimia,"Petroleum, Chemicals & Plastics",Kota Depok,Jawa Barat,"Kota Depok, Jawa Barat, Indonesia",21.86269436
107.0369586,-6.2571182,PT. Suzuki Indomobil Motor - Tambun 2/4 W,488,Otomotif,Capital goods & automobile components,Kab. Bekasi,Jawa Barat,"Kab. Bekasi, Jawa Barat, Indonesia",21.8495618
107.0369586,-6.2571182,PT. Suzuki Indomobil Motor - Tambun 1/2W,489,Otomotif,Capital goods & automobile components,Kab. Bekasi,Jawa Barat,"Kab. Bekasi, Jawa Barat, Indonesia",21.8495618
106.8626615,-6.4034291,PT. Panasonic Industrial Components Indonesia,671,Elektronik,Capital goods & automobile components,Kota Depok,Jawa Barat,"Kota Depok, Jawa Barat, Indonesia",21.75216774
106.8610274,-6.4022226,PT. Yanmar Diesel Indonesia,681,Mesin,Capital goods & automobile components,Kota Depok,Jawa Barat,"Kota Depok, Jawa Barat, Indonesia",21.60333223
106.8635138,-6.401925,PT. Xacti Indonesia,672,Elektronik,Capital goods & automobile components,Kota Depok,Jawa Barat,"Kota Depok, Jawa Barat, Indonesia",21.59382136
107.0388785,-6.1956429,PT. Pabrik Kertas Noree Indonesia,461,Kertas,"Wood, Leather & Paper",Kab. Bekasi,Jawa Barat,"Kab. Bekasi, Jawa Barat, Indonesia",21.43964758
106.996661,-6.088581,PT. PJB Unit Pembangkit Muara Tawar,506,PLTGU,Power & Energy,Kab. Bekasi,Jawa Barat,"Kab. Bekasi, Jawa Barat, Indonesia",21.41323339
106.8648214,-6.3984236,PT. Tang Mas,669,Air Minum Dalam Kemasan,Food & Beverage,Kota Depok,Jawa Barat,"Kota Depok, Jawa Barat, Indonesia",21.21973679
106.6596542,-6.1655123,PT. Winner Sumbiri Knitting Factory,172,Tekstil,Textile & Clothing,Kota Tangerang,Banten,"Kota Tangerang, Banten, Indonesia",21.1344402
107.0248178,-6.2609803,PT. Sumi Asih,464,Kimia,"Petroleum, Chemicals & Plastics",Kab. Bekasi,Jawa Barat,"Kab. Bekasi, Jawa Barat, Indonesia",20.66682697
107.0006444,-6.3116831,PT. Logam Jaya Abadi Plant 1,657,Peleburan Logam,Metal & non-metallic minerals,Kota Bekasi,Jawa Barat,"Kota Bekasi, Jawa Barat, Indonesia",20.63038618
