Reference,PLANT_ID,PLANT_NAME,IND_DESC,PARENTNAME,LATITUDE,LONGITUDE,Province,CAPACITY (T/yr),PRODUCT_DESC,PROPER NAME,Source,,,,,
GCPT,SID00001,Gunung Raja Paksi steel plant,Steel,Gunung Steel Group,-6.282658,107.117683,West Java,50000,Steel Manufacturing,,https://www.gunungrajapaksi.com/en,,,,,
GCPT,SID00002,Jakarta Prima Steel Industries plant,Steel,PT Jakarta Prima Steel Industries,-6.181643,106.932331,Jakarta,400000,Steel Manufacturing,,https://www.gem.wiki/Jakarta_Prima_Steel_Industries_plant,,,,,
GCPT; Industry Info,SID00003; II1078323,Krakatau Steel plant,Steel,"Republic of Indonesia 80%, Public 20%",-6.007021,106.001766,Banten,2400000,Steel Manufacturing,,https://www.gem.wiki/Krakatau_Steel_plant,,,,,
GCPT,SID00004,KS Posco steel plant,Steel,PT Krakatau Steel,-5.998661,105.99866,Banten,3000000,Steel Manufacturing,,https://www.krakatauposco.co.id/,,,,,
Industry Info,3171178,Bekasi Steel Mill,Steel,PT Afro Pacific Indah Steel,-6.2001,106.9948,West Java,400000,Steel Making,,Steel making facilities from https://www.industrialinfo.com/,,,,,
Industry Info,3104825,Jakarta Utara Steel Mill,Steel,PT The Master Steel,-6.17768,106.92,Jakarta,1500000,Steel Making,,Steel making facilities from https://www.industrialinfo.com/,,,,,
Industry Info,3087540,Sidoarjo Steel Mill,Steel,ArcelorMittal,-7.35576,112.7062,East Java,700000,Steel Making,,Steel making facilities from https://www.industrialinfo.com/,,,,,
Industry Info,3368607,Gresik Steel Rolling Mill,Steel,PT Jatim Taman Steel,-7.35006,112.7024,East Java,250000,Steel Making,,Steel making facilities from https://www.industrialinfo.com/,,,,,
Industry Info,3091482,Sidoarjo Steel Mill,Steel,PT Tunggal Jaya Steel,-7.45303,112.7173,East Java,3000000,Steel Making,,Steel making facilities from https://www.industrialinfo.com/,,,,,
Industry Info,3089017,Jakarta Steel Mill,Steel,PT Argo Manunggal Group,-6.17044,106.9272,Jakarta,360000,Steel Making,,Steel making facilities from https://www.industrialinfo.com/,,,,,
Industry Info,3107541,Tangerang Steel Mill,Steel,PT Interworld Steel Mills Indonesia,-6.21249,106.5911,Banten,800000,Steel Making,,https://www.iwsteel.com/en/about,,,,,
PROPER 2019,,Pertamina Balongan Refinery,Oil & Gas refining,,-6.3717,108.3881,West Java,125000,Oil and Gas Processing,Indramayu,https://www.fractracker.org/2017/12/global-oil-refineries-emissions/,,,,,
PROPER 2019,,Pertamina Cilacap Refinery,Oil & Gas refining,,-7.69963,109.0009,Central Java,348000,Oil,Cilacap,https://www.fractracker.org/2017/12/global-oil-refineries-emissions/,,,,,"Development Master Plan aims to increase capacity to 400,000 barrels "
PROPER 2019,,PT. Samator or PT Aneka Gas Industri,Oil & Gas refining,,-6.1941555,106.3212056,Banten,,Gas,Kab. Serang,,,,,,
PROPER 2019,,PT. Pertamina Hulu Energi Offshore North West Java (PHE ONWJ),Oil & Gas refining,,-6.33731,108.3258329,West Java,,Migas EP,"Kab. Karawang, Kab. Subang, Kab. Indramayu, Kab. Kep. Seribu",https://www.cleanenergyministerial.org/sites/default/files/2018-12/PT%20ONWJ_Indonesia.pdf,,,,,
PROPER 2019,,PT. Pertamina EP Asset 3 - Subang Field,Oil & Gas refining,,-6.5330855,107.7469509,West Java,,Migas EP,"Kab. Subang, Kab. Karawang",,,,,,
PROPER 2019,,PT. Pertamina Hulu Energi OSES,Oil & Gas refining,,-6.3001592,106.8331102,DKI Jakarta,11649382,Migas EP,Kota Jakarta Selatan,"http://phe.pertamina.com/Upload/File/82e4f2be-cf84-4165-9cb3-5875b0d5edc614IRPHE2019FULLFS191020.pdf
http://phe.pertamina.com/ContentView.aspx?MenuID=5iI8NvAvmYV/ZdipUw3e0Q==&TypeGroupContent=mELirpUhRYksFj7k8/XBcQ==&NewsCatID=9OYR9kUytIsLilKZieD5xg==",,,,,
PROPER 2019,,PT. Solusi Bangun Indonesia,Cement,,-7.6878249,109.0223212,Central Java,,,Kab. Cilacap,,,,,,
PROPER 2019,,PT. Sinar Tambang Arthalestari (Semen Bima),Cement,,-7.4353857,109.0715874,Central Java,,,Kab. Banyumas,,,,,,
