Reference/ PlantID,lon,lat,Nama Perusahaan,Kab.Kota,Provinsi,distance_from_jakarta_km,Jenis Industri,General Industri Group,Capacity,Unit,Generation (MWh),Fuel,Consumption,Product/Production,Amount,Cross-Check Industry,Note,Source
PROPER 2019,112.7637376,-7.3350604,PT. Aktif Indonesia Indah,Kab. Sidoarjo,East Java,East Java,Chemicals,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,112.7125168,-7.5628008,PT. ALP Petro Industry,Kab. Pasuruan,East Java,East Java,Hazardous waste treatment,Waste,,,,,,,,,,
PROPER 2019,112.7597696,-7.3249915,PT. Bondi Syad Mulia,Kota Surabaya,East Java,East Java,Metal Plating,Metal & non-metallic minerals,,,,,,,,,,
PROPER 2019,112.759348,-7.325253,PT. Steel Pipe Industry of Indonesia Surabaya Plant (unit 3),Kota Surabaya,East Java,East Java,Metal Plating,Metal & non-metallic minerals,,,,,,,,,,
PROPER 2019,112.7581034,-7.3309838,PT. SIER (Surabaya Industrial Estate Rungkut),Kota Surabaya,East Java,East Java,Kawasan Industri,Heavy industry,,,,,,,,,,
PROPER 2019,112.7136976,-7.4813973,PT. Unichem Candi Indonesia,Kab. Sidoarjo,East Java,East Java,Chemicals,Petrochemicals,,,,,,,,,,
PROPER 2019,112.725357,-7.418787,PT. Avia Avian,Kab. Sidoarjo,East Java,East Java,Paint,Petrochemicals & Plastics,,,,,,,,,,
PROPER 2019,112.7276862,-7.3731622,PT. Indal Alumunium Industry (Maspion Unit 1),Kab. Sidoarjo,East Java,East Java,Metal Processing,Metal & non-metallic minerals,,,,,,,,,,
PROPER 2019,112.6883969,-7.5194928,"Lapindo Brantas, Inc. (Lapangan Wunut)",Kab. Sidoarjo,East Java,East Java,Migas EP,Power & Energy,,,,,,,,,,
PROPER 2019,112.7415596,-7.2054751,PT. PAL Indonesia (Persero),Kota Surabaya,East Java,East Java,Heavy industry,Heavy industry,,,,,,,,,,
PROPER 2019,112.6663141,-7.3425224,PT. Duta Cipta Pakar Perkasa,Kota Surabaya,East Java,East Java,Metal Plating,Metal & non-metallic minerals,,,,,,,,,,
PROPER 2019,112.681502,-7.2482868,PT. Gunawan Dianjaya Steel,Kota Surabaya,East Java,East Java,Metal Smelting,Metal & non-metallic minerals,,,,,,,,,,
PROPER 2019,112.6597255,-7.3621141,"PT. Asahimas Flat Glass, Tbk. Sidoarjo Plant",Kab. Sidoarjo,East Java,East Java,Glass,Glass,,,,,,,,,,
PROPER 2019,112.6181664,-7.5522434,PT. Kawasan Industri Intiland (PT. Dharmala RSEA Industrial Estate (Ngoro Industrial Park)),Kab. Mojokerto,East Java,East Java,Industrial Area,Heavy industry,,,,,,,,,,
PROPER 2019,112.6782981,-7.2495125,PT. Jaya Pari Steel,Kota Surabaya,East Java,East Java,Rolling Mill,Metal & non-metallic minerals,,,,,,,,,,
